Model,Run Index,ACC,MCC,Partition Time
NCA+PSO,1,0.39,0.0,230.9617416858673
NCA+PSO,1,0.6,0.4037385450044705,235.04870915412903
NCA+PSO,1,0.86,0.0,229.9780960083008
NCA+PSO,1,0.89,0.0,215.31475710868835
NCA+PSO,1,0.85,0.0,213.03815340995789
NCA+PSO,2,0.31,0.0,214.8775191307068
NCA+PSO,2,0.56,0.3711631726411764,224.48245072364807
NCA+PSO,2,0.8,0.0,227.4327895641327
NCA+PSO,2,0.83,0.0,219.68669247627253
NCA+PSO,2,0.87,0.0,226.24664735794067
NCA+PSO,3,0.45,0.0,229.55533695220947
NCA+PSO,3,0.49,0.3170632437371139,211.17998576164248
NCA+PSO,3,0.79,0.0,223.95064997673035
NCA+PSO,3,0.86,0.0,215.99595141410828
NCA+PSO,3,0.88,0.0,212.3369874954224
NCA+PSO,4,0.39,0.0,224.9350073337555
NCA+PSO,4,0.59,0.3604935268066221,211.2684235572815
NCA+PSO,4,0.77,0.0,245.3765473365784
NCA+PSO,4,0.77,0.0,220.2413673400879
NCA+PSO,4,0.86,0.0,220.50990629196167
NCA+PSO,5,0.12,0.0,209.58980584144592
NCA+PSO,5,0.51,0.3322422229317342,225.0630533695221
NCA+PSO,5,0.81,0.0,247.0193033218384
NCA+PSO,5,0.86,0.0,222.37631177902225
NCA+PSO,5,0.91,0.0,218.89619708061213
